country,year,category,count
Croatia,2022,Asylum/Protection,20
Croatia,2022,Education,328
Croatia,2022,Employment,53471
Croatia,2022,Family,2710
Croatia,2022,Other,821
Croatia,2023,Asylum/Protection,45
Croatia,2023,Education,377
Croatia,2023,Employment,77541
Croatia,2023,Family,2461
Croatia,2023,Other,968
Croatia,2024,Asylum/Protection,65
Croatia,2024,Education,438
Croatia,2024,Employment,85574
Croatia,2024,Family,2713
Croatia,2024,Other,1084
Cyprus,2014,Asylum/Protection,995
Cyprus,2014,Education,1444
Cyprus,2014,Employment,7989
Cyprus,2014,Family,2111
Cyprus,2014,Other,2297
Cyprus,2015,Asylum/Protection,1585
Cyprus,2015,Education,2226
Cyprus,2015,Employment,7337
Cyprus,2015,Family,2580
Cyprus,2015,Other,3426
Cyprus,2016,Asylum/Protection,1300
Cyprus,2016,Education,3313
Cyprus,2016,Employment,7385
Cyprus,2016,Family,2332
Cyprus,2016,Other,3940
Cyprus,2017,Asylum/Protection,1245
Cyprus,2017,Education,4923
Cyprus,2017,Employment,8204
Cyprus,2017,Family,2741
Cyprus,2017,Other,3103
Cyprus,2018,Asylum/Protection,1215
Cyprus,2018,Education,3339
Cyprus,2018,Employment,9771
Cyprus,2018,Family,3346
Cyprus,2018,Other,4534
Cyprus,2019,Asylum/Protection,1300
Cyprus,2019,Education,4372
Cyprus,2019,Employment,10686
Cyprus,2019,Family,3839
Cyprus,2019,Other,4428
Cyprus,2020,Asylum/Protection,1675
Cyprus,2020,Education,2403
Cyprus,2020,Employment,7897
Cyprus,2020,Family,2704
Cyprus,2020,Other,3906
Cyprus,2021,Asylum/Protection,2290
Cyprus,2021,Education,3281
Cyprus,2021,Employment,9800
Cyprus,2021,Family,3024
Cyprus,2021,Other,6085
Cyprus,2022,Asylum/Protection,570
Cyprus,2022,Education,1956
Cyprus,2022,Employment,19221
Cyprus,2022,Family,8371
Cyprus,2022,Other,9369
Cyprus,2023,Asylum/Protection,3075
Cyprus,2023,Education,2810
Cyprus,2023,Employment,16874
Cyprus,2023,Family,8564
Cyprus,2023,Other,6446
Cyprus,2024,Asylum/Protection,3780
Cyprus,2024,Education,3458
Cyprus,2024,Employment,21092
Cyprus,2024,Family,5638
Cyprus,2024,Other,10086
Czechia,2014,Asylum/Protection,375
Czechia,2014,Education,6030
Czechia,2014,Employment,11083
Czechia,2014,Family,10687
Czechia,2014,Other,7658
Czechia,2015,Asylum/Protection,460
Czechia,2015,Education,13658
Czechia,2015,Employment,19931
Czechia,2015,Family,21265
Czechia,2015,Other,13950
Czechia,2016,Asylum/Protection,435
Czechia,2016,Education,17099
Czechia,2016,Employment,23095
Czechia,2016,Family,24568
Czechia,2016,Other,15306
Czechia,2017,Asylum/Protection,145
Czechia,2017,Education,11076
Czechia,2017,Employment,23327
Czechia,2017,Family,15448
Czechia,2017,Other,7870
Czechia,2018,Asylum/Protection,155
Czechia,2018,Education,12132
Czechia,2018,Employment,35529
Czechia,2018,Family,16512
Czechia,2018,Other,7028
Czechia,2019,Asylum/Protection,135
Czechia,2019,Education,14446
Czechia,2019,Employment,66440
Czechia,2019,Family,26796
Czechia,2019,Other,9387
Czechia,2020,Asylum/Protection,105
Czechia,2020,Education,7550
Czechia,2020,Employment,29217
Czechia,2020,Family,13423
